train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.870079,0.628763,0.987889,0.946257
0.871054,0.6297,0.988012,0.946517
0.873041,0.632001,0.988204,0.946784
0.873719,0.632477,0.988308,0.946876
0.874923,0.634249,0.988461,0.947028
0.876239,0.634876,0.988612,0.947236
0.876987,0.63668,0.988697,0.947545
0.877955,0.637896,0.988845,0.947946
0.878118,0.637968,0.988869,0.948031
0.878742,0.638224,0.98895,0.948038
0.879354,0.639276,0.989001,0.948258
0.8808,0.640651,0.989159,0.948637
0.881496,0.640958,0.989235,0.948738
0.882504,0.642021,0.989357,0.948933
0.883087,0.642679,0.989442,0.949081
0.883896,0.642534,0.989528,0.949055
0.885792,0.644217,0.989745,0.949202
0.887073,0.645352,0.989857,0.949323
0.887741,0.646039,0.989927,0.949458
0.88816,0.646534,0.989989,0.949688
0.888769,0.647438,0.99007,0.94982
0.889973,0.647883,0.990179,0.949903
0.891302,0.648585,0.990297,0.950007
0.891935,0.649534,0.99036,0.950181
0.892676,0.649965,0.990427,0.950255
0.894322,0.651676,0.990598,0.950377
0.895067,0.652107,0.99067,0.950377
0.896164,0.652233,0.990758,0.950384
0.896695,0.651944,0.990834,0.950268
0.896972,0.652105,0.990865,0.950234
0.897641,0.652767,0.990937,0.950303
0.898033,0.653144,0.990974,0.950354
0.898586,0.653113,0.991055,0.950352
0.899818,0.653916,0.991168,0.950492
0.900501,0.655143,0.991255,0.950643
0.901128,0.65584,0.991304,0.950675
0.901691,0.656345,0.991362,0.950695
0.902861,0.657386,0.991485,0.950918
0.903865,0.658164,0.991592,0.950948
0.90481,0.658016,0.99169,0.950862
0.905061,0.6582,0.991713,0.95081
0.906136,0.658759,0.991807,0.951022
0.906461,0.65902,0.991847,0.95099
0.906921,0.658528,0.991891,0.950923
0.90753,0.658762,0.991946,0.950848
0.908646,0.6592,0.992075,0.950995
0.909775,0.659491,0.992199,0.950871
0.910626,0.659375,0.992303,0.950745
0.911008,0.659769,0.992353,0.950818
0.911819,0.660111,0.992451,0.950953
0.912459,0.660138,0.992508,0.950957
0.912885,0.660466,0.992547,0.950949
0.913374,0.660581,0.992595,0.950953
0.914355,0.66124,0.992716,0.950978
0.915368,0.661486,0.992815,0.951062
0.916404,0.662256,0.992902,0.950886
0.916683,0.662198,0.992938,0.95093
0.917336,0.662533,0.992993,0.951043
0.918056,0.663217,0.993069,0.951126
0.919322,0.664771,0.993207,0.951444
0.919739,0.665753,0.993258,0.951693
0.920243,0.666453,0.993313,0.951745
0.9207,0.666924,0.993352,0.951736
0.921206,0.667116,0.993397,0.951798
0.921608,0.667321,0.99343,0.9518
0.922029,0.667539,0.993467,0.951777
0.922714,0.668083,0.993532,0.951906
0.923364,0.668846,0.993592,0.95209
0.924217,0.669299,0.993679,0.952069
0.924448,0.668976,0.993713,0.951944
0.925178,0.669459,0.993789,0.952037
0.925309,0.66962,0.993806,0.952065
0.925937,0.670325,0.99387,0.952312
0.926207,0.670598,0.993889,0.95235
0.926437,0.670508,0.993912,0.952366
0.926941,0.670948,0.993958,0.952458
0.927495,0.670984,0.994013,0.952489
0.927582,0.671118,0.994022,0.952605
0.928442,0.671677,0.994094,0.952563
0.92886,0.671234,0.994131,0.952509
0.929119,0.672149,0.994158,0.952663
0.929412,0.671944,0.994193,0.952665
0.930181,0.672129,0.994247,0.952728
0.930701,0.672477,0.9943,0.952719
0.931246,0.672057,0.994364,0.952708
0.93179,0.672067,0.994417,0.952858
0.932292,0.672723,0.99446,0.952927
0.932562,0.672712,0.994483,0.952918
0.93303,0.672841,0.994526,0.952921
0.933417,0.673401,0.994563,0.953083
0.934156,0.673913,0.994637,0.953237
0.934462,0.674301,0.99467,0.953297
0.93523,0.675193,0.994739,0.953287
0.935577,0.675269,0.994774,0.95318
0.936317,0.676576,0.994836,0.953338
0.937266,0.67635,0.994926,0.95322
0.937574,0.677002,0.994956,0.953324
0.938094,0.677484,0.995001,0.953411
0.938384,0.678103,0.995034,0.95349
0.939128,0.679161,0.995103,0.953672
0.939423,0.679192,0.995141,0.953673
0.939998,0.680153,0.995184,0.953763
0.940549,0.680018,0.995234,0.953637
0.941036,0.680706,0.995266,0.953827
0.94151,0.680638,0.995321,0.95384
0.941712,0.680904,0.995338,0.953882
0.942256,0.681831,0.995383,0.953957
0.942647,0.682193,0.995421,0.954042
0.943105,0.6828,0.995458,0.954033
0.943438,0.683389,0.995482,0.954144
0.943684,0.68336,0.995503,0.954223
0.944451,0.683774,0.995575,0.954229
0.944786,0.683561,0.995597,0.954276
0.945182,0.683088,0.995638,0.954209
0.946093,0.683619,0.995718,0.954342
0.946468,0.68356,0.995749,0.95436
0.947004,0.683911,0.995798,0.954362
0.947589,0.684019,0.995838,0.954572
0.947902,0.68388,0.99587,0.954667
0.94829,0.683897,0.995902,0.954647
0.949103,0.684329,0.995976,0.954713
0.949401,0.684711,0.996007,0.954703
0.949645,0.684994,0.996026,0.954727
