train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.971057,0.67391,0.996978,0.952026
0.971331,0.674058,0.997009,0.952022
0.971527,0.674107,0.997033,0.952024
0.971772,0.674618,0.997062,0.952122
0.971994,0.674914,0.997093,0.952143
0.972099,0.67515,0.997106,0.952251
0.972386,0.675299,0.99714,0.952223
0.972606,0.675625,0.997167,0.952269
0.972749,0.675725,0.997184,0.952335
0.972983,0.67602,0.997212,0.952395
0.97322,0.676137,0.99724,0.952417
0.973488,0.676238,0.997272,0.952404
0.973715,0.676629,0.997298,0.952457
0.973905,0.677217,0.997321,0.952521
0.974105,0.677495,0.997345,0.952564
0.974354,0.677755,0.997371,0.952723
0.97451,0.67813,0.997387,0.952731
0.974709,0.678153,0.997415,0.952807
0.974838,0.678284,0.997428,0.95287
0.975041,0.678381,0.997454,0.952926
0.975202,0.678978,0.997475,0.953081
0.975372,0.678935,0.997496,0.953099
0.975486,0.679182,0.99751,0.953119
0.97571,0.679294,0.997535,0.953086
0.975852,0.679655,0.997549,0.953175
0.975969,0.679934,0.997565,0.953214
0.976255,0.679889,0.997596,0.953204
0.976346,0.680232,0.997605,0.953246
0.976431,0.680434,0.997616,0.953297
0.976649,0.68052,0.997638,0.953367
0.976789,0.680824,0.997655,0.953431
0.976961,0.680975,0.997676,0.953496
0.977048,0.68099,0.997686,0.953568
0.97725,0.681115,0.997707,0.9536
0.977378,0.681234,0.997723,0.953637
0.977511,0.681517,0.997739,0.953723
0.977769,0.682095,0.997772,0.953779
0.977846,0.682186,0.997781,0.953752
0.978071,0.682674,0.997807,0.953852
0.978206,0.682693,0.997824,0.953875
0.978323,0.6829,0.997838,0.953863
0.978438,0.683308,0.997851,0.953927
0.978586,0.683469,0.997872,0.953975
0.978713,0.683711,0.997886,0.954008
0.978864,0.684017,0.997907,0.954081
0.979058,0.684092,0.997929,0.954139
0.979234,0.684038,0.997951,0.954157
0.979409,0.684102,0.997974,0.954216
0.979629,0.684535,0.997995,0.954249
0.979759,0.684818,0.998008,0.954301
0.979953,0.685098,0.998029,0.954338
0.980061,0.685304,0.998043,0.954376
0.980163,0.685637,0.998055,0.95443
0.980248,0.685948,0.998064,0.954515
0.980358,0.686248,0.998076,0.954565
0.980574,0.686349,0.998099,0.954691
0.980643,0.686666,0.998108,0.954726
0.980821,0.686747,0.998131,0.954737
0.980933,0.687098,0.998143,0.954772
0.980997,0.6872,0.99815,0.95477
0.981111,0.687218,0.998161,0.954802
0.981233,0.687588,0.998173,0.954885
0.981397,0.687696,0.998192,0.954914
0.981576,0.687784,0.998211,0.954956
0.981624,0.687815,0.998216,0.954991
0.981763,0.687945,0.99823,0.955043
0.981911,0.687928,0.998244,0.955015
0.982095,0.688177,0.998266,0.955093
0.982238,0.688586,0.998282,0.955223
0.982389,0.688535,0.998296,0.955216
0.982501,0.688988,0.998305,0.955249
0.982654,0.689343,0.998321,0.955311
0.982792,0.689571,0.998336,0.955331
0.982892,0.689888,0.998347,0.955402
0.983021,0.689942,0.998362,0.955386
0.983126,0.68981,0.998377,0.955357
0.983223,0.689889,0.998386,0.955359
0.983325,0.689944,0.998396,0.955342
0.983451,0.690298,0.99841,0.955402
0.983524,0.690468,0.998417,0.955422
0.983607,0.690565,0.998427,0.955433
0.983766,0.690839,0.998442,0.955481
0.983922,0.690976,0.998457,0.955523
0.984067,0.691018,0.998471,0.955496
0.984211,0.691111,0.998487,0.955524
0.984285,0.691229,0.998494,0.955596
0.984392,0.691352,0.998506,0.95564
0.984588,0.691707,0.998525,0.95563
0.984758,0.691758,0.998545,0.955664
0.984865,0.69183,0.998556,0.955722
0.9849,0.692143,0.998559,0.955773
0.984978,0.69237,0.998566,0.955818
0.985082,0.692692,0.998577,0.955847
0.985129,0.692754,0.998581,0.955847
0.985187,0.692988,0.998588,0.955907
0.985286,0.693065,0.998598,0.955924
0.98534,0.693048,0.998603,0.955917
0.985422,0.693058,0.998611,0.955931
0.985558,0.693022,0.998625,0.95594
0.9857,0.693265,0.99864,0.955956
0.985801,0.693483,0.99865,0.956009
0.985937,0.693572,0.998663,0.956055
0.986029,0.693787,0.998672,0.956119
0.986134,0.694174,0.998682,0.956184
0.986234,0.69442,0.998692,0.9562
0.986345,0.69442,0.998703,0.956225
0.986435,0.69458,0.998712,0.956229
0.986549,0.694652,0.998724,0.956283
0.986657,0.695156,0.998735,0.956364
0.986788,0.695256,0.998749,0.956365
0.986893,0.695346,0.99876,0.956383
0.986965,0.695492,0.998768,0.956381
0.987111,0.695572,0.998784,0.956422
0.987229,0.695848,0.998798,0.956475
0.987314,0.695926,0.998807,0.956475
0.987414,0.696021,0.998817,0.956494
0.987501,0.696304,0.998826,0.956535
0.987566,0.696514,0.998833,0.956599
0.987684,0.696601,0.998847,0.956613
0.987744,0.696757,0.998853,0.956626
0.987864,0.696918,0.998866,0.956617
0.987939,0.697216,0.998875,0.956615
0.987986,0.697447,0.998879,0.956644
0.988071,0.69742,0.998888,0.95667
0.988143,0.697615,0.998896,0.95672
0.988171,0.69777,0.998899,0.956755
0.988259,0.697787,0.998909,0.95673
0.988396,0.698084,0.998924,0.956764
0.988457,0.698239,0.99893,0.956788
0.988518,0.698383,0.998935,0.956779
0.98856,0.698513,0.99894,0.956757
0.988612,0.6986,0.998945,0.956719
0.988669,0.698661,0.998951,0.956719
0.988776,0.698828,0.998962,0.95676
0.98882,0.699061,0.998966,0.956781
0.988921,0.699109,0.998976,0.956746
0.988987,0.699142,0.998982,0.95674
0.989023,0.699293,0.998986,0.956775
0.989108,0.699689,0.998994,0.956793
0.989168,0.699813,0.999,0.956862
0.989201,0.700075,0.999004,0.956923
0.989268,0.700313,0.99901,0.956991
0.989329,0.700495,0.999016,0.957019
0.989392,0.70074,0.999023,0.957061
0.989464,0.700697,0.99903,0.957045
0.989535,0.700966,0.999037,0.957112
0.989631,0.700925,0.999046,0.957084
0.989699,0.701132,0.999053,0.957163
0.989753,0.701037,0.999059,0.957132
0.989807,0.701024,0.999064,0.957087
0.989872,0.701179,0.999071,0.957112
0.989923,0.701545,0.999075,0.957144
0.990002,0.70189,0.999082,0.957221
0.990108,0.70219,0.999093,0.95726
0.990174,0.702309,0.999099,0.957297
0.990256,0.70261,0.999107,0.957334
0.990305,0.702803,0.999112,0.957369
0.990349,0.702904,0.999116,0.957368
0.990369,0.703015,0.999118,0.957395
0.990426,0.702946,0.999123,0.957424
0.990531,0.703285,0.999134,0.95746
0.990614,0.703526,0.999142,0.957547
0.990672,0.703555,0.999148,0.957557
0.99074,0.703922,0.999154,0.957559
0.990808,0.70405,0.999161,0.957562
0.990855,0.704121,0.999165,0.957606
0.990902,0.704217,0.999169,0.957627
0.990965,0.704336,0.999176,0.957648
0.99097,0.704212,0.999177,0.957672
0.991043,0.704363,0.999184,0.957727
0.991063,0.70465,0.999186,0.957753
0.991111,0.70481,0.999191,0.957759
0.991141,0.704776,0.999194,0.957783
0.991264,0.704947,0.999206,0.957814
0.991324,0.704837,0.999211,0.957826
0.991414,0.705168,0.99922,0.957887
0.991461,0.705272,0.999225,0.957943
0.991501,0.705448,0.999229,0.957965
0.991549,0.705537,0.999234,0.957956
0.991606,0.705971,0.999239,0.958004
0.991672,0.706069,0.999246,0.958017
0.991709,0.70626,0.999249,0.958032
0.991757,0.706349,0.999254,0.958045
0.99179,0.706398,0.999256,0.958078
0.991838,0.706312,0.999261,0.958064
0.991902,0.706481,0.999267,0.958064
0.991972,0.706434,0.999274,0.958047
0.992013,0.706699,0.999277,0.958053
0.992041,0.706863,0.99928,0.958087
0.992078,0.707218,0.999283,0.958159
0.992135,0.707406,0.999289,0.958202
0.992241,0.707293,0.999299,0.958189
0.992286,0.70757,0.999304,0.958235
0.992307,0.707766,0.999306,0.958239
0.992373,0.707921,0.999312,0.958257
0.992415,0.708076,0.999316,0.958331
0.992461,0.70843,0.999321,0.958403
0.992527,0.708314,0.999328,0.958379
0.992548,0.708395,0.99933,0.958394
0.992584,0.708494,0.999333,0.958405
0.992638,0.708737,0.999338,0.958426
0.992649,0.708653,0.99934,0.958398
0.992694,0.708855,0.999345,0.958421
0.992751,0.709076,0.999351,0.958477
0.992763,0.709111,0.999352,0.958493
0.992819,0.709193,0.999357,0.958537
0.992837,0.709355,0.999359,0.95856
0.992873,0.709512,0.999362,0.958544
0.99291,0.709382,0.999366,0.958524
0.99294,0.709555,0.999369,0.95853
0.993001,0.709563,0.999375,0.958509
0.993032,0.70976,0.999377,0.958574
0.993076,0.709816,0.999381,0.958585
0.993126,0.710051,0.999386,0.958614
0.993168,0.710288,0.999391,0.95866
0.993231,0.710426,0.999397,0.958697
0.993302,0.710496,0.999404,0.958708
0.993335,0.71069,0.999408,0.958721
0.993369,0.710795,0.999411,0.958738
0.993413,0.710874,0.999415,0.958747
0.993454,0.71094,0.999419,0.958755
0.993471,0.710873,0.999421,0.958763
0.993482,0.710934,0.999422,0.95877
0.9935,0.711263,0.999423,0.958788
0.993535,0.711371,0.999426,0.958779
0.993561,0.711522,0.999429,0.958782
0.993605,0.711834,0.999433,0.958816
0.993624,0.711865,0.999435,0.958857
0.993693,0.712064,0.999442,0.958897
0.993747,0.712244,0.999448,0.958934
0.99378,0.712212,0.999451,0.958969
0.993823,0.712436,0.999454,0.959007
0.9939,0.712537,0.999461,0.959016
0.993943,0.712545,0.999465,0.95905
0.993977,0.712638,0.999468,0.959026
0.994018,0.712699,0.999473,0.959076
0.994075,0.712855,0.999478,0.959107
0.994101,0.712944,0.99948,0.959126
0.994126,0.713125,0.999483,0.959203
0.994194,0.71327,0.999489,0.95924
0.994234,0.713293,0.999493,0.959266
0.994267,0.713457,0.999496,0.959261
0.994323,0.713603,0.999501,0.959297
0.99434,0.713791,0.999503,0.959338
0.994389,0.713904,0.999508,0.959375
0.994419,0.713928,0.999511,0.95939
0.994461,0.714076,0.999514,0.959438
0.994486,0.714016,0.999517,0.959456
0.99449,0.714134,0.999517,0.959459
0.994515,0.714136,0.99952,0.959468
0.994544,0.714092,0.999523,0.959452
0.994581,0.714344,0.999526,0.959481
0.994597,0.714355,0.999528,0.959495
0.994635,0.714409,0.999531,0.959521
0.994653,0.714581,0.999533,0.959575
0.994683,0.71481,0.999535,0.959647
0.994717,0.71507,0.999538,0.959666
0.994736,0.715195,0.99954,0.959689
0.994761,0.715222,0.999542,0.959708
0.994794,0.715304,0.999545,0.959693
0.994819,0.715328,0.999548,0.959716
0.994865,0.715314,0.999553,0.959727
0.994888,0.715422,0.999555,0.959739
0.994897,0.715519,0.999556,0.959753
0.994926,0.715607,0.999559,0.959752
0.994994,0.71583,0.999566,0.959768
0.995029,0.716049,0.999569,0.959812
0.995044,0.716291,0.99957,0.959841
0.995057,0.716203,0.999572,0.959823
0.995076,0.716408,0.999573,0.959851
0.995097,0.716414,0.999575,0.959842
0.995129,0.716523,0.999578,0.959913
0.995157,0.716613,0.999581,0.959915
0.995182,0.716758,0.999583,0.959924
0.995199,0.716793,0.999585,0.959929
0.995258,0.717063,0.99959,0.959919
0.995295,0.717169,0.999593,0.959945
0.995331,0.717171,0.999597,0.959936
0.99535,0.717198,0.999598,0.959965
0.995368,0.717346,0.9996,0.959986
0.99538,0.717409,0.999601,0.959995
0.995411,0.717237,0.999604,0.959981
0.995442,0.717364,0.999607,0.959984
0.995454,0.717474,0.999608,0.96
0.995485,0.717682,0.999611,0.960036
0.995508,0.717783,0.999613,0.960054
0.995519,0.7178,0.999613,0.960057
0.995556,0.717621,0.999616,0.96003
0.995589,0.717786,0.99962,0.960042
0.995607,0.717808,0.999621,0.960041
0.995613,0.717761,0.999622,0.960045
0.995652,0.717807,0.999625,0.960051
0.995674,0.71789,0.999627,0.960073
0.995692,0.718055,0.999628,0.960102
0.995727,0.718167,0.999631,0.96013
